Date,Open,High,Low,Close,Adj Close,Volume
1999/1/22,0.4375,0.488281,0.388021,0.410156,0.376319,271468800
1999/1/25,0.442708,0.458333,0.410156,0.453125,0.415743,51048000
1999/1/26,0.458333,0.467448,0.411458,0.417969,0.383487,34320000
1999/1/27,0.419271,0.429688,0.395833,0.416667,0.382293,24436800
1999/1/28,0.416667,0.419271,0.41276,0.415365,0.381098,22752000
1999/1/29,0.415365,0.416667,0.395833,0.395833,0.363177,24403200
1999/2/1,0.395833,0.40625,0.395833,0.403646,0.370346,15470400
1999/2/2,0.395833,0.40625,0.360677,0.372396,0.341674,26409600
1999/2/3,0.367188,0.385417,0.364583,0.380208,0.348841,7512000
1999/2/4,0.385417,0.411458,0.380208,0.401042,0.367957,18192000
1999/2/5,0.407552,0.416667,0.397135,0.41276,0.378708,13684800
1999/2/8,0.415365,0.416667,0.398438,0.398438,0.365567,15408000
1999/2/9,0.40625,0.408854,0.377604,0.382813,0.351231,8697600
1999/2/10,0.382813,0.393229,0.372396,0.378906,0.347647,14822400
1999/2/11,0.380208,0.427083,0.380208,0.411458,0.377513,13224000
1999/2/12,0.416667,0.4375,0.416667,0.434896,0.399018,10972800
1999/2/16,0.442708,0.460938,0.393229,0.4375,0.401407,21100800
1999/2/17,0.427083,0.432292,0.40625,0.414063,0.379903,6772800
1999/2/18,0.427083,0.432292,0.408854,0.420573,0.385876,7070400
1999/2/19,0.416667,0.442708,0.411458,0.434896,0.399018,7536000
1999/2/22,0.442708,0.447917,0.414063,0.4375,0.401407,20524800
1999/2/23,0.447917,0.467448,0.421875,0.458333,0.420521,13809600
1999/2/24,0.526042,0.546875,0.483073,0.494792,0.453972,61276800
1999/2/25,0.515625,0.53125,0.471354,0.479167,0.439636,14913600
1999/2/26,0.484375,0.5,0.453125,0.457031,0.419327,17260800
1999/3/1,0.46875,0.479167,0.4375,0.459635,0.421716,9216000
1999/3/2,0.458333,0.460938,0.447917,0.455729,0.418132,5524800
1999/3/3,0.458333,0.458333,0.421875,0.424479,0.38946,6139200
1999/3/4,0.445313,0.447917,0.411458,0.415365,0.381098,5736000
1999/3/5,0.419271,0.440104,0.419271,0.438802,0.402601,7876800
1999/3/8,0.427083,0.458333,0.419271,0.445313,0.408575,7588800
1999/3/9,0.44401,0.466146,0.44401,0.459635,0.421716,14318400
1999/3/10,0.466146,0.466146,0.445313,0.451823,0.414548,23534400
1999/3/11,0.44401,0.451823,0.432292,0.432292,0.396629,5428800
1999/3/12,0.434896,0.434896,0.416667,0.424479,0.38946,9076800
1999/3/15,0.434896,0.447917,0.432292,0.442708,0.406185,10881600
1999/3/16,0.445313,0.450521,0.424479,0.428385,0.393044,7915200
1999/3/17,0.432292,0.440104,0.420573,0.43099,0.395434,5136000
1999/3/18,0.432292,0.442708,0.421875,0.436198,0.400212,4632000
1999/3/19,0.434896,0.450521,0.434896,0.4375,0.401407,10531200
1999/3/22,0.446615,0.447917,0.424479,0.424479,0.38946,3667200
1999/3/23,0.427083,0.427083,0.390625,0.398438,0.365567,16396800
1999/3/24,0.395833,0.398438,0.380208,0.395833,0.363177,6086400
1999/3/25,0.394531,0.416667,0.393229,0.401042,0.367957,4032000
1999/3/26,0.40625,0.4375,0.40625,0.436198,0.400212,8827200
1999/3/29,0.449219,0.459635,0.441406,0.449219,0.412159,6595200
1999/3/30,0.450521,0.454427,0.408854,0.411458,0.377513,6950400
1999/3/31,0.424479,0.445313,0.404948,0.440104,0.403796,15360000
1999/4/1,0.440104,0.442708,0.419271,0.427083,0.391849,3043200
1999/4/5,0.421875,0.432292,0.411458,0.414063,0.379903,9864000
1999/4/6,0.417969,0.419271,0.395833,0.403646,0.370346,6969600
1999/4/7,0.40625,0.440104,0.403646,0.4375,0.401407,8928000
1999/4/8,0.440104,0.458333,0.434896,0.445313,0.408575,13012800
1999/4/9,0.447917,0.447917,0.434896,0.4375,0.401407,4862400
1999/4/12,0.432292,0.432292,0.411458,0.419271,0.384682,3331200
